Title, URL
iPhone,https://www.apple.com/iphone/
Mac,https://www.apple.com/mac/
iPad,https://www.apple.com/ipad/
Apple Watch,https://www.apple.com/watch/
Apple Support,https://support.apple.com/
Accessories,https://www.apple.com/shop/accessories/all-accessories
